gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FABP4,159.506244071177,-4.0400780895791,0.304882764879029,-13.251251152823,4.43743196706818e-40,1.10172560878369e-35
LGALS3,438.708620194506,-2.43123759789695,0.191582931813113,-12.6902619919639,6.69614162930872e-37,8.31259021862385e-33
CCL20,80.0252753227784,-5.11332252910035,0.404529799033291,-12.6401628293384,1.26791108827205e-36,1.04932321665395e-32
THBS2,436.525918676825,-2.70049648806155,0.215682812812288,-12.5206846704648,5.7536672074892e-36,3.57130123568855e-32
MOXD1,108.800610034861,-3.90211163285514,0.31342016113319,-12.4500977178584,1.39674051018752e-35,5.03875433384225e-32
VWF,472.095905303676,-2.87397920920779,0.230386126009377,-12.4746192793346,1.02695871809047e-35,5.03875433384225e-32
SLC6A11,49.8536360658248,-5.81356732803972,0.467000297607954,-12.4487443751486,1.42062511426195e-35,5.03875433384225e-32
LTBP2,244.479520757111,-3.0589088135016,0.246732172838199,-12.397689277059,2.68968368811547e-35,8.34743332606636e-32
MYO7B,35.884489231563,-3.21429481396296,0.259742204753379,-12.3749423664701,3.57150572011669e-35,9.85259377989526e-32
LUM,1311.0315320818,-2.9141258559086,0.235697040692378,-12.3638627254213,4.09972625180336e-35,1.01788003379774e-31
GEM,197.711767623383,-3.5095370686001,0.284790222495881,-12.323235811408,6.79135186302752e-35,1.5328698550477e-31
CEMIP,36.5842253637262,-4.85081610689923,0.397847903069209,-12.1926396230255,3.40219789046291e-34,7.03914743536777e-31
RGS4,63.3978749340701,-3.37747424916915,0.279671388923132,-12.0765812411989,1.40438351593814e-33,2.68215645643939e-30
KRT23,70.3529922525623,-5.88098754281751,0.488329272476101,-12.04307805059,2.10935524644442e-33,3.74079086133728e-30
LOXL4,98.670647423423,-3.48002140165366,0.290176034822375,-11.9927939734371,3.87606790774043e-33,6.41566760089196e-30
AEBP1,741.158685686321,-2.64523715078031,0.227787496723947,-11.6127407729759,3.55049460833904e-31,5.50948000849011e-28
LXN,77.9333199855685,-2.64274955931312,0.228166818492551,-11.5825323628264,5.05309245476859e-31,7.37989290982322e-28
DCDC2,289.415134155164,-3.14647674294257,0.271897213362332,-11.5723022830306,5.69340923654378e-31,7.85310914027271e-28
ROR2,17.7743128034979,-3.50870597871484,0.304680414781348,-11.5160207499154,1.09554506684397e-30,1.43158910103168e-27
ITGA2,74.9160023878664,-2.55248565030401,0.222664366991072,-11.4633773009866,2.01501024779916e-30,2.50143372161788e-27
CLIC6,88.637001258139,-3.38387380445485,0.296850864661043,-11.3992384974816,4.21792265745095e-30,4.98678970186629e-27
ANTXR1,432.018464437861,-2.21481784155518,0.194834880267703,-11.3676659872812,6.05860278642619e-30,6.8374086355177e-27
IQGAP3,22.5442504133279,-4.33496841508323,0.384607209433416,-11.2711574530007,1.82159367014339e-29,1.9663707670574e-26
TMEM200A,33.1681588492879,-4.0298646624693,0.358172672990305,-11.2511784576552,2.28518228517968e-29,2.36402107401838e-26
FGF7,75.9985967052858,-3.16920910288737,0.282591998721227,-11.2147871037699,3.45015621924998e-29,3.36284948428875e-26
GPC3,168.257680147863,-3.75721366470254,0.335077361215339,-11.2129737773837,3.52159201673545e-29,3.36284948428875e-26
MMP2,434.808674548263,-2.40859474270601,0.215084528691933,-11.1983635334174,4.15334718023885e-29,3.81923347373963e-26
IGFBP7,4736.72117745394,-1.70835000273435,0.153908079697809,-11.0998071452039,1.25714859524607e-28,1.11473161867034e-25
MMP7,154.805489149616,-4.13211285323859,0.374308671017317,-11.0393190785778,2.46897041082946e-28,2.11377921931289e-25
VCAN,282.350615569088,-2.57394984153688,0.233658330382475,-11.0158702123891,3.20425170061261e-28,2.651838707427e-25
LOXL1,33.4865767629359,-3.25407422580154,0.296052062357595,-10.9915607406613,4.19606521042755e-28,3.36064216272565e-25
CTHRC1,18.5431256696061,-3.79924751738491,0.346038451311901,-10.9792640181495,4.80825071565579e-28,3.73060152400943e-25
C1orf198,317.831978302856,-1.75603888867626,0.161225680462717,-10.8918063402582,1.26113723945249e-27,9.48833799428071e-25
ITGB5,1363.95799910125,-0.910596308126152,0.0836891548386224,-10.8806966671136,1.42469900423428e-27,1.04036549638614e-24
WNK4,14.8779241669784,-4.22404050277949,0.38965286472584,-10.840522129233,2.21204941211691e-27,1.56916465154396e-24
COL15A1,78.2323367128841,-3.32776570156257,0.307346054628847,-10.8274228721797,2.55237864795283e-27,1.7602904742048e-24
BACE2,170.559090599894,-1.95480718018768,0.180706538675062,-10.8175785697646,2.84186465115297e-27,1.90696798807638e-24
DNMT3L,115.849496755227,3.23524061854254,0.300406446790296,10.7695445723938,4.79366498729723e-27,3.13202932380567e-24
KIRREL,204.036086330146,-1.89331366692987,0.176448472866689,-10.7301221493728,7.34989558063124e-27,4.67905660194647e-24
LIF,28.0698247904474,-3.33228501531029,0.31209609346718,-10.6771122262084,1.3026082014465e-26,8.08528910637845e-24
RGCC,72.1757135090191,-2.78014248826305,0.261125191677652,-10.6467800766424,1.80500836348326e-26,1.06701780115624e-23
VTCN1,60.1967858969798,-3.34504989164884,0.315235770158552,-10.6112637216468,2.64151892064618e-26,1.52520073864659e-23
ITGBL1,94.3510073180503,-3.63949905443188,0.343295458423537,-10.6016522069502,2.92761759182076e-26,1.65197476294832e-23
SMOC2,105.658080137272,-3.04629840764906,0.290783972986293,-10.476156496399,1.11170380251761e-25,6.13364044642382e-23
SLC12A2,638.207677786377,-2.13001587052712,0.203884459446164,-10.4471712866843,1.50960717862236e-25,7.97458021932679e-23
FAM169A,120.999423305617,-1.91102926547289,0.182895703612282,-10.4487378748057,1.48488082420595e-25,7.97458021932679e-23
COL1A2,1374.01330593624,-2.19921309411887,0.212292862538587,-10.3593360032023,3.79587912718169e-25,1.92334871366667e-22
STC1,47.0047707905016,-3.28138866694328,0.318190529815059,-10.3126534559357,6.17718250788691e-25,3.06734174611632e-22
THBS1,1522.43386602798,-2.92750777454663,0.285271506633386,-10.2621807873329,1.04323682006353e-24,4.98105457087258e-22
TPM1,1079.52744666429,-1.40008077645986,0.137261110716957,-10.2001271091776,1.98013182150434e-24,9.27598355930372e-22
COL5A1,410.479810390826,-1.97167721170708,0.193879611338664,-10.169595441694,2.71032017639745e-24,1.24614498777029e-21
CCDC80,171.373099848218,-2.76484563478288,0.272497567776522,-10.1463130748028,3.44119092690141e-24,1.55341615151106e-21
CXCL6,395.058282908627,-3.79190109464394,0.376030782068826,-10.0840177864745,6.50121113760066e-24,2.88235839507767e-21
CXCL8,187.525619357657,-4.61280250009405,0.459448686548788,-10.0398643747221,1.0181404736129e-23,4.43480555769493e-21
PAPLN,72.7824020696531,-2.20462588578874,0.220443225193832,-10.00087838422,1.51051217344207e-23,6.35644004105419e-21
