NASH_ID,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,H001,H002,H003,H004,H005,H006,H007,H008,H009,H010,H011,H012,H013,H014,H015,H016,H017,H018,H019,H020,N001,N002,N003,N004,N005,N006,N007,N008,N009,N010,N011,N012,N013,N014,N015,N016,N017,N018,N019,N020,N021,N022,N023,N024,N025,N026,N027,N029,N030,N031,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015,S016,S017
ENSG00000000003,1733.1705,1541.6565,1896.7585000000001,2094.1839,2070.5534000000002,1829.7562,1882.9989,1558.1624,1817.4087000000002,2271.3077,1400.0186,5091.5923,1741.2556,4196.9048999999995,1201.4222,483.90319999999997,1910.1234,1869.2768,1384.7523999999999,2583.6227,2667.8767000000003,4238.5479,1797.8497,1549.9269,4051.369,2911.9488,2246.2264999999998,922.9254000000001,3280.5961,3172.85,2273.756,260.9944,229.1689,1368.9858,2916.8316,2999.3503,1709.8247999999999,871.6059,1801.7935,2237.2025,2168.7426,244.8395,1287.1384,1715.5953,2753.3564,2657.8022,2170.4366,5407.902099999999,2333.2362999999996,2314.7296,1790.0136000000002,1640.3747,3026.8524,1894.5206,1770.0847,1674.0424,1136.2756,559.9686,992.111,2409.4285,1476.8339,971.2705,1864.0629,1779.766,2641.3855000000003,2772.8797,1512.2256,950.8624,1554.243,1760.8510999999999,407.9728,2029.3082,4521.091399999999,2730.2558,1822.1596,5483.6909000000005,1094.9917,2702.125,2652.6992999999998,2091.9475,2100.9049,538.0,2451.2799,1959.8593999999998,1035.0654,2559.0863,1179.4263999999998
ENSG00000000005,1.0,2.0,10.0,3.0,5.0,1.0,2.0,4.0,0.0,0.0,5.0,6.0,6.0,4.0,15.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,16.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,3.0,10.0,0.0,2.0,7.0,14.0,1.0,1.0,2.0,1.0,11.0001,0.0,4.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,32.0,0.0,3.0,0.0,4.0,2.0,1.0,2.0,0.0,1.0,2.0,4.0,11.0,3.0,0.0,0.0,1.0,4.0,11.0,3.0,5.0
ENSG00000000419,558.2707,536.9998999999999,672.0224000000001,652.8413,671.5739999999998,575.6995,621.9753000000001,554.8636,461.75540000000007,985.9637000000001,324.9951,2092.2583,508.9149,1235.4399999999998,361.49429999999995,142.0,608.9952000000001,338.62569999999994,526.0,809.9833,625.2048,775.5858999999999,389.0,345.9998,1176.927,845.8597999999998,593.9933,411.7872,758.5864,671.9995,552.9999,59.0001,96.0,315.0,775.5933,762.7144000000001,615.9999,324.76959999999997,580.9998,675.6021999999999,511.0,118.0,592.7709000000001,794.8162,710.7964000000001,691.0702,568.1266,1071.1758,578.0,453.0,374.95669999999996,338.0,738.9962999999999,614.9997999999999,387.0,396.9997,313.23069999999996,363.00000000000006,203.9959,507.0,421.3633,357.6974,532.4096,459.9624,528.6867,595.8635999999999,403.9999,312.7068,297.95989999999995,475.9963,99.0001,533.853,1265.6552000000001,759.5471,439.0,1119.6870000000001,214.0,603.9991,651.3707,389.9999,437.0571,127.99990000000001,662.2610999999999,702.9694,299.0,654.2683000000001,252.9999
ENSG00000000457,270.0047,181.5506,309.49799999999993,283.7625,295.4748,383.5039,275.2842,342.4763,262.4566,434.054,90.88199999999999,763.8268,238.68669999999997,529.7093,242.4608,68.1317,252.63950000000003,176.30649999999997,166.27050000000003,251.73220000000003,173.4137,310.6087,186.407,149.6874,447.40729999999996,346.0711,208.0646,167.30970000000002,203.79590000000002,209.3009,127.82310000000001,3.0,42.0,103.18860000000001,373.42069999999995,471.7215,209.1301,212.62689999999998,189.9416,265.0866,177.83450000000002,61.7295,319.6579,259.64320000000004,281.4503,298.0927,242.2316,590.1804000000001,238.4072,134.1495,107.72800000000001,156.7321,304.76279999999997,206.9648,226.88279999999997,183.4638,162.1601,72.9751,47.4555,151.06099999999998,137.69959999999998,206.83950000000002,313.6317,167.935,304.1489,297.2142,125.6221,158.1284,227.07790000000003,215.6447,62.974,224.74949999999998,508.9103,320.7922,150.9315,396.78739999999993,73.4462,217.9375,192.32610000000003,123.96470000000001,189.81740000000002,37.445100000000004,256.7069,286.0295,97.1586,197.97469999999998,125.0171
ENSG00000000460,67.7175,42.4493,86.9298,232.7613,127.73079999999999,135.4152,139.7164,128.5237,105.09890000000001,143.3681,28.118,272.3955,102.3132,272.54990000000004,98.62639999999999,38.8682,96.3607,133.8952,111.97820000000002,296.0895,104.58630000000001,126.58779999999999,69.6442,40.312599999999996,189.5928,96.1217,110.3756,146.7271,177.20409999999998,83.8427,102.1768,0.0,0.0,30.8114,198.57930000000002,257.64509999999996,115.6777,59.091100000000004,68.13399999999999,155.3252,58.3832,28.7511,68.603,111.3569,93.15809999999999,119.9886,67.7152,299.2074,88.66270000000002,115.8505,97.361,28.2679,66.46170000000001,125.03529999999999,45.1172,110.53630000000001,130.84,136.0249,35.5445,108.95039999999999,88.3005,78.2222,107.58880000000002,83.065,59.9291,75.8431,67.378,58.8717,49.099500000000006,84.24449999999999,21.026,87.3244,153.64600000000002,84.2078,69.3131,230.43619999999999,57.553799999999995,89.4519,142.7411,102.3765,60.1826,31.5549,77.6305,101.9705,27.8414,100.1001,36.3868
ENSG00000000938,137.4606,17.1361,51.2523,40.83409999999999,192.24849999999998,119.6497,66.1551,127.31920000000001,73.76899999999999,270.438,26.0496,135.8754,162.9727,84.36009999999999,189.9815,11.891300000000001,28.8236,47.555499999999995,64.0655,101.4853,70.06559999999999,86.3575,88.47049999999999,27.7671,82.2381,83.77040000000001,67.0656,144.8102,200.216,35.6241,38.393899999999995,0.0,26.715,53.7629,128.3434,59.3001,101.5567,53.90559999999999,24.3229,91.8287,35.9259,3.1334000000000004,112.13360000000002,112.41749999999999,24.276999999999997,49.998,27.9056,93.2587,42.851,105.7848,13.2739,186.0489,90.76889999999999,10.0982,36.1666,55.6382,188.2305,20.3721,71.614,88.9624,5.6045,47.043099999999995,54.2046,20.5517,84.2332,60.286199999999994,112.8908,56.631699999999995,24.1764,81.3164,18.0291,55.778,102.1206,95.5959,37.0996,195.2139,28.0032,30.764400000000002,70.64750000000001,16.9203,45.537499999999994,8.0,67.4503,22.8838,90.56450000000001,38.4332,77.89529999999999
ENSG00000000971,44883.136399999996,24584.7919,36244.6318,66560.2715,41076.14460000001,48737.8857,46108.4147,40585.88240000001,52640.0305,57601.13480000001,14344.699800000002,76464.84599999999,39127.1732,96749.1337,34615.45010000001,16033.7891,48852.395000000004,45255.174000000006,27594.9771,61430.28590000001,50690.0589,67971.23630000002,23321.280700000003,33040.8088,85762.7584,66025.6658,38751.356,27963.3309,45642.92349999999,42385.6001,22548.7008,2095.1762000000003,4841.8986,10147.7455,47555.04720000001,97560.0573,50374.8739,30992.771599999996,26794.403000000002,41992.7566,41579.725399999996,4589.1901,43556.0592,26665.1997,56888.0809,47838.3815,46608.7825,128184.00320000002,37974.489100000006,20473.219,29619.846299999997,32456.0403,44207.7574,33497.7934,39046.8213,36805.484899999996,22793.9731,13165.911,14385.815400000001,29876.3708,34321.1312,37839.945999999996,48874.7857,29198.744500000004,44392.2637,53106.6508,24850.1046,25660.465299999996,25722.460900000002,29692.913999999997,5332.746700000001,56661.8724,86917.3678,56230.513300000006,28577.9887,92252.43289999999,14615.7901,49526.291600000004,50586.30969999998,23414.257999999998,29144.769000000004,5520.3661999999995,47759.3838,63028.1132,13379.640300000001,35187.8263,16696.041800000003
ENSG00000001036,1242.9717,980.7013,1133.0391,1462.7225,1422.6834999999999,1551.4237,1195.1829,946.368,1030.7267,2253.8131,444.6278,4651.8097,1520.0,2670.2828,1160.8414,323.0,1287.6094,581.7018,1067.7139,2021.3972,802.9999000000001,1285.0,645.2723000000001,568.6915,1541.5356,1286.0001,740.6885,368.77009999999996,1043.3491,1089.7957,633.544,29.0,155.7409,392.60799999999995,1355.2933,991.3174,781.4964,687.6111000000001,580.7139,906.3431,649.2975,260.3203,1450.8203999999998,1791.6061,1007.8848,1027.0,690.7371,1939.1791,791.715,701.2381,551.0,697.5986,1126.9116999999999,654.3165,860.0,560.8731,558.9998999999999,775.0,438.0,571.524,563.4540000000001,696.1152,924.1536,727.5529,790.0,1038.0094000000001,563.0,545.538,506.0,648.3289,171.86710000000002,757.7617,1923.3282,1329.2971,654.0,1769.0286,348.0,830.0,728.1105,511.6865,674.0,187.4358,1193.8514,980.3123999999999,402.07460000000003,899.6418000000001,352.3414
ENSG00000001084,2214.3669999999997,1513.0827,2602.0543,3323.0411,2149.4961000000003,2141.1003,2856.1009999999997,1913.9614,2326.9498,2994.9429000000005,1268.5325,7695.9511999999995,2512.5583,5353.258099999999,1696.6374000000003,811.0024,3070.996899999999,2578.0622,2411.9777999999997,3709.4871000000003,3944.8218,6075.869700000001,2402.7094,2461.4257000000007,5919.1518,4643.6536,3452.8467,1629.6132,3749.6090000000004,3420.7235,3017.8379999999997,366.4397,393.4746,1440.1236999999999,2731.3305,5568.026600000001,2824.4641,2306.4786000000004,2637.9201,3709.4488999999994,2953.7572,577.3035,4180.6979,4071.2309000000005,3184.2401000000004,4446.0431,4095.0000000000005,5930.186900000001,2936.8498999999997,2859.1098,1942.4563000000003,2215.4412,4002.394300000001,3151.7131,2850.0462,2194.9501999999998,1655.0003999999994,1719.9804,1092.7358,3088.4839,2510.601,2021.9613,3658.0029999999997,2051.9999000000003,3830.6663000000003,3760.6957,2199.6572,1935.2197,2283.9839,4352.8940999999995,543.2505,3076.7736999999997,6923.9847,4728.3007,2675.5087,6818.0118,994.6974999999999,4126.9232,3420.6806000000006,2410.4114999999997,2826.2741000000005,533.9999,3351.2729999999997,3928.969,1309.4973,3426.811,1587.0560999999998
ENSG00000001167,358.0,235.00000000000003,360.04760000000005,373.0,326.6361,397.9501,336.0,330.9999,329.9656,415.9554,139.0,724.8576,336.0,705.9123,127.0,52.0,227.0,230.0,202.0,380.0,292.0,362.0,223.60340000000002,196.0,444.0,370.9472,286.0,273.0,369.0,263.0,218.0,21.0,53.0,139.0,442.29699999999997,467.0,364.0,139.0457,237.0,334.0,262.0,52.0,246.0,273.0,328.7171,294.0,245.9999,592.0,332.2405,251.19920000000002,205.0,212.0,410.0,305.0,204.0,147.0,149.0,159.0,64.0,288.0,195.0,196.1054,270.0,169.0,309.99989999999997,285.0,256.0,159.9205,181.0,298.0689,48.0,233.0,540.0,472.0,175.0,512.0,96.1472,314.0,304.0656,195.0,180.0,64.8639,320.0,294.88039999999995,258.0,236.8937,201.91060000000002
